row_id,score,y_pred
0,0.10906170308589935,0
1,0.10906170308589935,0
2,0.10906170308589935,0
3,0.10880769789218903,0
4,0.11846977472305298,0
5,0.1311749815940857,0
6,0.1420150101184845,0
7,0.15138687193393707,0
8,0.1585051715373993,0
9,0.1637023687362671,0
10,0.1703868955373764,0
11,0.17598894238471985,0
12,0.18076008558273315,0
13,0.18399503827095032,0
14,0.1799454241991043,0
15,0.16756495833396912,0
16,0.1499040126800537,0
17,0.1282050609588623,0
18,0.10937200486660004,0
19,0.09422148764133453,0
20,0.08393000066280365,0
21,0.0750933364033699,0
22,0.06873448193073273,0
23,0.06603427231311798,0
24,0.06745988130569458,0
25,0.06708116084337234,0
26,0.06746378540992737,0
27,0.06746377050876617,0
28,0.06744866818189621,0
29,0.07305888086557388,0
30,0.07432111352682114,0
31,0.07441746443510056,0
32,0.07494378089904785,0
33,0.0746205523610115,0
34,0.07456327229738235,0
35,0.08568516373634338,0
36,0.10154830664396286,0
37,0.11911316215991974,0
38,0.13069111108779907,0
39,0.13162444531917572,0
40,0.13545459508895874,0
41,0.13990052044391632,0
42,0.1438875049352646,0
43,0.1499268114566803,0
44,0.15280628204345703,0
45,0.15016025304794312,0
46,0.1452905386686325,0
47,0.1415860652923584,0
48,0.133354052901268,0
49,0.1277046948671341,0
50,0.12132997810840607,0
51,0.10911619663238525,0
52,0.10061145573854446,0
53,0.09359900653362274,0
54,0.08811360597610474,0
55,0.08132050186395645,0
56,0.0741179808974266,0
57,0.069660484790802,0
58,0.07515677064657211,0
59,0.0840907171368599,0
60,0.096980519592762,0
61,0.11578875780105591,0
62,0.12685942649841309,0
63,0.1303478628396988,0
64,0.12827208638191223,0
65,0.12498050183057785,0
66,0.12161337584257126,0
67,0.11448227614164352,0
68,0.10294310003519058,0
69,0.08969666808843613,0
70,0.07556668668985367,0
71,0.06248404458165169,0
72,0.05215732380747795,0
73,0.04334649816155434,0
74,0.03499772772192955,0
75,0.03616119548678398,0
76,0.04104795306921005,0
77,0.04827122762799263,0
78,0.058506857603788376,0
79,0.06218257173895836,0
80,0.06891299039125443,0
81,0.07849827408790588,0
82,0.08814897388219833,0
83,0.08962038904428482,0
84,0.08962035924196243,0
85,0.08864765614271164,0
86,0.08546373248100281,0
87,0.08073172718286514,0
88,0.0813632607460022,0
89,0.08620749413967133,0
90,0.08516363054513931,0
91,0.08336924761533737,0
92,0.08287651836872101,0
93,0.09297394007444382,0
94,0.11152073740959167,0
95,0.12594608962535858,0
96,0.1368783861398697,0
97,0.14481700956821442,0
98,0.14949198067188263,0
99,0.15198348462581635,0
100,0.15518826246261597,0
101,0.15617679059505463,0
102,0.15793372690677643,0
103,0.15691426396369934,0
104,0.15233366191387177,0
105,0.15312375128269196,0
106,0.15778574347496033,0
107,0.16399289667606354,0
108,0.16311608254909515,0
109,0.1621122658252716,0
110,0.15727072954177856,0
111,0.152944415807724,0
112,0.14773008227348328,0
113,0.14448407292366028,0
114,0.14327691495418549,0
115,0.13631334900856018,0
116,0.1295444369316101,0
117,0.12491975724697113,0
118,0.12156093120574951,0
119,0.1179548129439354,0
120,0.11548057198524475,0
121,0.11195360869169235,0
122,0.10672123730182648,0
123,0.09675613790750504,0
124,0.08399710804224014,0
